id,comment_text,is_toxic,p_is_toxic,flags,label_is_toxic
00961bcaadd6a278,"Well I will use my user page then, don't tell meyour gonna remove it too, because that will piss me off and drive me nuts. Also I am not making a personal ttack on Jimmy wales, I am saying he is a bit to greedy dont you think? He's got 6 million dollars already and now he's asking for more.",0,0.804,is_toxic=FN(p=0.80),1
00eb6533c271bc85,"hate is my topic is hate
if you hate a person means you like that person. Your hate can turn into your love",0,0.934,is_toxic=FN(p=0.93),1
011e2c96cfa8a055,"Fucked with the wrong muchacho.  21:19, July 23, 2005 (UTC)",1,0.182,is_toxic=FP(p=0.18),0
0125f95ac41f6cea,Add Mobile porn as additional WP:ALSO link,1,0.153,is_toxic=FP(p=0.15),0
014ab157b6991c99,"Go away

Why did you revert my edit on Blowdart's user talk page? Surely thats his privelege. Users like you give wikipedia a bad name. Stop being such a busybody. 134.226.1.194",0,0.914,is_toxic=FN(p=0.91),1
01536041ca06f2ae,"Anytime you want a nightcap, tell me.",0,0.832,is_toxic=FN(p=0.83),1
015bf1bda7ab6b9c,"I can tell you what the argument is about here newseventsguy. It's about YOUR retroactive reversion of a simple edit trying to include secondary independent verification of sedimentary nanodiamonds in Younger Dryas sediments by Bement and Madden et al., WITHOUT DISCUSSION a reference that I notice has NOT YET been included in the reference list still, after all this time. This is after you ADMIT that you are ignorant of the peer review literature and the controversy. Any attempt to do simple reference list edits on this page have been stomped by no less that five admittedly biased and ignorant editors. The honorable thing to do here would be to recuse yourself from editing the page, as I have. But I haven't seen that happening until now. Good luck with it, you've already made complete fools of yourselves.",1,0.163,is_toxic=FP(p=0.16),0
018e6f1e1b18723a,"""

 Another crap article 
Parrots what promotion websites of capoeira schools say about myths of origin. And also that persecution thing. By the late 1800s, capoeira became a word for street brawling. Thus, authorities did not prohibit or sanction """"practice"""" of capoeira. In banning capoeira they were banning outright street brawls! It's why Mestre Bimba presented his art as Luta Regional Baiana. No decent carioca would be eager to sympathise with capoeira and malandrismo. I could attempt to alter the article but it's become such a mess by now.   """,1,0.146,is_toxic=FP(p=0.15),0
0242375ae7ece3b0,OH GET A LIFE YOU PRICK 81.144.199.2,0,0.957,is_toxic=FN(p=0.96),1
028aa892076cf0d1,You are a funney man.,0,0.992,is_toxic=FN(p=0.99),1
028d62ba197114fa,"""

that is your opinion. And what is your proof that I am anti-Newsom? Whether you support him or not he did have a gay porn day and violated state law by issuing """"Gay marriage"""" licenses, in contradiction to state law. These are facts, not slander or fiction...""",0,0.842,is_toxic=FN(p=0.84),1
030ff39db5af91fa,Keep your propaganda away from this article. You are just another internet troll.,0,0.94,is_toxic=FN(p=0.94),1
031c15507901e54a,"Oh hear me go someone removes all my pages i get angry and put down even more for beuing upset Use your common sense you little hitler he rem,oved every one of my links and i am supposed to be kind to him why? What about his uuncivial nature. Why dio none of you have any understanding. He goes on my pages onsults my work, supports a deletetion of all my pages orbpablry did them, and i am supposed to be kind to him. I did not swear at him,. ai am argoibng back. You are not the police. I have right to be angry back. i have not sworn, alittle hitler is not a swear word it refers to petty law enforcers such as park attendetns or traffic wardens who go after people with a vindictive smugness with no sympathy",0,0.858,is_toxic=FN(p=0.86),1
